Monthly_Income,Loan_Amount,Age,Primary_Income_Source,Essential_Expenses,Monthly_Installment,Remittance_Status,Land_Area,CIB_Score,Risk
66094,59636,47,Other,28821,3126,1,1.74,615,0
39200,185295,32,Salary,8675,4564,1,4.19,570,1
75009,427280,55,Agriculture,15043,7611,0,1.7,626,1
78811,149273,31,Salary,21177,1253,0,0.63,612,1
20979,77511,37,Other,3942,1424,0,0.18,574,1
33956,335575,33,Salary,15025,15512,0,0.93,763,1
62557,40924,37,Salary,10125,547,0,0.14,702,0
53675,257577,38,Business,11625,2314,1,1.09,402,1
59664,507455,22,Salary,14252,5233,0,0.31,750,1
42939,153595,58,Agriculture,5422,1501,0,0.31,396,1
77588,392447,43,Salary,17197,3496,0,0.27,343,1
75556,739802,72,Business,29995,9162,0,2.52,531,1
61321,307300,28,Business,8090,2573,0,2.33,516,1
82545,143938,56,Business,24441,9230,1,1.1,733,1
69350,68750,28,Salary,15982,673,0,1.16,683,1
42814,405939,49,Salary,6127,3882,0,5.61,332,1
67375,203822,45,Salary,5698,1836,0,2.89,574,1
40822,215892,43,Salary,7394,3392,0,3.48,738,1
77569,105623,55,Salary,7980,1088,0,1.47,703,1
59001,266963,65,Remittance,12945,8073,0,0.0,575,1
56303,525645,36,Business,21383,6814,0,2.05,639,1
46381,244563,66,Business,16061,4821,1,0.87,609,1
84451,821352,28,Salary,36359,10753,0,0.12,427,1
56909,168390,34,Salary,13544,1982,0,0.79,610,1
51433,272244,35,Business,17584,5502,0,2.43,671,1
52957,458901,72,Salary,17273,12980,1,0.43,330,1
70646,336162,24,Salary,11325,7192,0,0.19,683,1
67309,212369,40,Salary,12945,2537,1,0.19,437,1
68255,588837,42,Business,18841,6919,0,0.08,304,1
68616,288458,63,Other,25715,3133,1,3.28,716,1
102833,569887,45,Salary,25798,22204,0,2.15,514,1
51872,507153,73,Salary,8521,5051,0,4.38,527,1
49755,113023,60,Salary,22269,1309,0,2.24,644,1
43725,147061,58,Salary,5368,9615,0,1.67,608,1
72320,57506,60,Agriculture,31364,1192,0,0.74,641,0
82579,348686,27,Salary,31326,5587,0,0.68,820,1
57721,138631,43,Business,22534,2721,0,1.16,658,1
43197,300665,51,Salary,16161,12182,0,2.01,325,1
43510,96703,29,Salary,6832,2812,0,0.35,422,1
73012,504566,24,Remittance,22930,34435,0,1.52,547,1
74865,224821,25,Salary,26951,10195,1,0.61,560,1
70863,274564,62,Agriculture,25220,6736,0,2.69,499,1
46690,178084,55,Salary,8427,1771,0,0.75,401,1
64643,472485,34,Remittance,9503,6860,1,0.82,358,1
62334,307421,60,Salary,12554,5314,0,1.7,379,1
64374,253140,57,Salary,16579,3031,0,1.39,823,1
77429,665883,64,Agriculture,22632,9447,0,1.53,517,1
64472,382547,69,Salary,25123,14599,0,0.18,829,1
73578,186255,68,Salary,26822,5168,0,1.24,484,1
61352,555289,28,Other,20257,15411,0,0.12,471,1
65782,247023,61,Business,11676,3217,1,0.41,569,1
72626,63207,40,Business,18678,1022,0,0.54,821,0
30857,160416,40,Business,6298,2978,0,0.48,610,1
53607,89921,54,Agriculture,8948,1247,0,0.1,319,1
50593,139911,52,Remittance,4239,1198,0,0.71,449,1
47222,358772,41,Business,9709,7811,1,0.9,840,1
54497,94942,74,Salary,9524,1392,0,2.7,385,1
89899,734113,27,Salary,26215,11492,0,2.58,760,1
42683,401247,23,Business,4399,4488,0,3.99,811,1
79366,496994,19,Agriculture,14293,5469,1,4.07,418,1
26343,190945,64,Salary,2544,2104,0,1.65,607,1
53302,387989,41,Salary,16914,11491,0,5.58,630,1
63255,628228,42,Salary,18359,10384,0,0.52,737,1
71724,268579,55,Business,14694,2696,0,0.57,739,1
74225,151949,42,Agriculture,9984,2856,0,0.22,333,1
75867,412116,50,Salary,32959,3484,0,0.06,475,1
53025,295130,21,Business,15707,5742,0,0.12,817,1
50753,111158,26,Agriculture,16813,1691,0,0.16,494,1
77160,488001,71,Remittance,21342,7716,0,5.35,435,1
56174,35625,43,Salary,21257,605,0,1.1,646,0
34486,321163,27,Remittance,14197,3108,0,0.44,407,1
37334,112504,39,Business,8273,3910,0,0.53,381,1
41611,36444,37,Agriculture,13953,497,0,0.27,739,1
69943,106899,33,Salary,11545,1356,0,0.85,365,1
62849,174869,34,Business,20186,1683,0,0.74,791,1
73810,228967,59,Business,16806,2943,1,3.27,437,1
51455,41766,24,Salary,4246,361,0,5.64,358,1
63171,199233,35,Salary,27387,1876,0,0.46,708,1
72512,169167,44,Business,29101,3406,0,2.23,397,1
53813,220466,48,Business,10096,2102,1,1.32,501,1
69136,287543,68,Salary,31054,2489,0,1.6,493,1
46761,173978,70,Salary,9228,4374,0,0.8,579,1
52739,190666,34,Salary,13173,2447,0,2.84,560,1
52365,70821,48,Remittance,20682,1669,0,2.37,407,1
36083,26681,19,Other,6953,325,0,1.35,429,1
69739,168774,53,Salary,17205,7632,0,1.24,406,1
50612,389114,26,Salary,16513,4262,0,0.2,330,1
60250,597240,22,Salary,7728,10416,0,0.41,658,1
69615,648881,56,Salary,16448,8603,1,0.42,559,1
68931,364651,28,Remittance,13406,24650,0,0.07,359,1
73308,407030,45,Business,24221,4673,1,0.69,482,1
58030,202439,23,Salary,7562,3088,1,1.28,667,1
51534,404667,60,Salary,8560,5088,1,2.35,457,1
58406,453534,61,Salary,20045,9840,0,0.02,520,1
26253,223691,50,Agriculture,3618,8061,0,1.09,709,1
31058,279749,65,Business,7334,4739,0,3.93,669,1
33546,155194,42,Business,11532,1362,0,0.55,686,1
40055,311841,28,Salary,14549,8520,0,0.15,510,1
67995,554893,26,Remittance,7827,6529,0,2.17,566,1
41890,143698,30,Salary,16557,8267,0,0.78,766,1
